Order Number,Placed On,Item SKU,Item Name,Product Category,Units,Rate (INR),Buyer Email,Ship City,Order Status,Returned On
700648,2023-01-02 09:17:46,SKU-2409,Product SKU-2409,Kitchenware,4,330.95,buyer0278@example.com,Mumbai,DELIVERED,
700648,2023-01-02 09:17:46,SKU-2411,Product SKU-2411,Kitchenware,5,473.5,buyer0278@example.com,Mumbai,DELIVERED,
700648,2023-01-02 09:17:46,SKU-2417,Product SKU-2417,Kitchenware,4,930.09,buyer0278@example.com,Mumbai,DELIVERED,
700648,2023-01-02 09:17:46,SKU-2400,Product SKU-2400,Kitchenware,1,578.43,buyer0278@example.com,Mumbai,DELIVERED,
700648,2023-01-02 09:17:46,SKU-2416,Product SKU-2416,Kitchenware,9,535.21,buyer0278@example.com,Mumbai,DELIVERED,
700648,2023-01-02 09:17:46,SKU-2403,Product SKU-2403,Kitchenware,2,367.51,buyer0278@example.com,Mumbai,DELIVERED,
704570,2023-01-02 09:26:20,SKU-2418,Product SKU-2418,Kitchenware,1,694.86,buyer0262@example.com,Mumbai,DELIVERED,
704570,2023-01-02 09:26:20,SKU-2410,Product SKU-2410,Kitchenware,5,241.46,buyer0262@example.com,Mumbai,DELIVERED,
704570,2023-01-02 09:26:20,SKU-2416,Product SKU-2416,Kitchenware,1,403.67,buyer0262@example.com,Mumbai,DELIVERED,
704570,2023-01-02 09:26:20,SKU-2114,Product SKU-2114,Footwear,6,167.73,buyer0262@example.com,Mumbai,DELIVERED,
707168,2023-01-02 09:49:55,SKU-2420,Product SKU-2420,Kitchenware,3,624.04,buyer0574@example.com,Delhi,RETURNED,2023-01-16
707168,2023-01-02 09:49:55,SKU-2015,Product SKU-2015,Apparel,8,184.82,buyer0574@example.com,Delhi,RETURNED,2023-01-16
705713,2023-01-02 10:15:13,SKU-2220,Product SKU-2220,Jewellery,1,417.42,buyer0574@example.com,Delhi,DELIVERED,
705713,2023-01-02 10:15:13,SKU-2217,Product SKU-2217,Jewellery,9,328.31,buyer0574@example.com,Delhi,DELIVERED,
700663,2023-01-02 10:15:34,SKU-2517,Product SKU-2517,Stationery,9,744.1,buyer0036@example.com,Kolkata,RETURNED,2023-01-11
700663,2023-01-02 10:15:34,SKU-2521,Product SKU-2521,Stationery,6,234.03,buyer0036@example.com,Kolkata,RETURNED,2023-01-11
700663,2023-01-02 10:15:34,SKU-2502,Product SKU-2502,Stationery,8,200.59,buyer0036@example.com,Kolkata,RETURNED,2023-01-11
700663,2023-01-02 10:15:34,SKU-2515,Product SKU-2515,Stationery,6,440.06,buyer0036@example.com,Kolkata,RETURNED,2023-01-11
700663,2023-01-02 10:15:34,SKU-2522,Product SKU-2522,Stationery,9,430.82,buyer0036@example.com,Kolkata,RETURNED,2023-01-11
700663,2023-01-02 10:15:34,SKU-2112,Product SKU-2112,Footwear,9,206.86,buyer0036@example.com,Kolkata,RETURNED,2023-01-11
711475,2023-01-02 10:58:50,SKU-2318,Product SKU-2318,Home Decor,6,181.17,buyer0636@example.com,Mumbai,DELIVERED,
711475,2023-01-02 10:58:50,SKU-2306,Product SKU-2306,Home Decor,6,593.72,buyer0636@example.com,Mumbai,DELIVERED,
711475,2023-01-02 10:58:50,SKU-2312,Product SKU-2312,Home Decor,2,493.1,buyer0636@example.com,Mumbai,DELIVERED,
711475,2023-01-02 10:58:50,SKU-2303,Product SKU-2303,Home Decor,9,377.33,buyer0636@example.com,Mumbai,DELIVERED,
711475,2023-01-02 10:58:50,SKU-2308,Product SKU-2308,Home Decor,3,399.79,buyer0636@example.com,Mumbai,DELIVERED,
